Candidato,Quantidade,LifeTime,inv_cost ,O&M       
GAO115:013-3,1,20,2,0.1
GAOVIO115-01,1,20,2,0.1
GAOVIO115-02,1,20,2,0.1
INS115:034-1,1,20,2,0.1
INSPES115-01,1,20,2,0.1
INSVIO115-01,1,20,2,0.1
INSVIO115-02,1,20,2,0.1
INSSOL115-01,1,20,2,0.1
INSTOB115-01,1,20,2,0.1
LAP115:034-1,1,20,2,0.1
LAPVIO115-01,1,20,2,0.1
LAPVIO115-02,1,20,2,0.1
LRO115:013-1,1,20,2,0.1
LRO115:013-2,1,20,2,0.1
LROPES115-01,1,20,2,0.1
LROMIR115-01,1,20,2,0.1
PES115:013-1,1,20,2,0.1
VIO115:034-1,1,20,2,0.1
VIO115:034-2,1,20,2,0.1
VIO115:013-1,1,20,2,0.1
VIO115:053-1,1,20,2,0.1
SOL115:034-1,1,20,2,0.1
SOLSOL 34-01,1,20,2,0.1
SOLSOL 34-02,1,20,2,0.1
SOL034:000-1,1,20,2,0.1
SOLSOL 34-03,1,20,2,0.1
SOL000:001-1,1,20,2,0.1
SOL000:001-2,1,20,2,0.1
SOLSOL 34-04,1,20,2,0.1
SOL034:001-1,1,20,2,0.1
TOB115:034-1,1,20,2,0.1
TOBTOB 34-01,1,20,2,0.1
TOB034:000-1,1,20,2,0.1
MIR115:013-1,1,20,2,0.1
YEA115:013-1,1,20,2,0.1
TOS115:013-1,1,20,2,0.1
